text,address,website,label
netflix attention subscription netflix dear customer subscription expire however part loyalty program extend free 90 day extend free unsubscribe,mi.n.h.kho.a.huyn.hc.1@gmail.com,,Phishing
c apple security wednesday june 28 2023 important notice device currently infect trojan virus phone memory already 17 damage swift action require otherwise device become defective datum include account photo payment information accessible third party immediately install trust free application appstore remove virus protect device 1 minute 46 second remove virus detect apple,,ios-mobguard.com,Phishing
address confirmation require delivery need assistance june 14 shipping detail must validate package successfully deliver hope email find well write regard delivery recent package regret inform delivery issue arise due incorrect shipping address provide order process team make every effort deliver package provide address encounter difficulty due address discrepancy order ensure proper delivery package avoid delay kindly request immediate assistance confirm shipping address help we rectify situation kindly ask reconfirm address detail please provide accurate complete shipping address update system proceed package delivery promptly please note receive confirmation address need temporarily hold package,,,Phishing
bank bpm account temporarily suspend update,,youweb-bancobpm.web.app,Phishing
hey choose win free iphone 14 iphone 14amazon gabriele 1405 amazon dear amazon customer select 3 participant receive new iphone 14 see name follow list please click link soon possible confirm user information provide we promptly 1st winner oscar iphone 14 2nd winner gabry dicosmo iphone 14 3rd winner alma iphone 14 claim prize confirm,,,Phishing
european police office europol establish july 1st 1999 headquarters eisenhowerlaan 73 flag netherlands hague detail 52 ° 05 ° 34 n 4 ° 16 ° 53 e employee 1065 december 2016 annual budget € 1164 million 2017 responsible minister flag belgium catherine de bolle director general eisenhowerlaan 73 flag netherlands hague summon upon request mr cathérine de bolle act write instruction mr cathérine de bolle director general europol office chief brigade protection minor reference 160422900879 follow analysis work conduct brigade protection minor bpm computer network trace identify datum identify subject various count online solicitation sexual extortion pornographic website cyberpornography pedophilia exhibitionism information law march 2007 increase penalty case attempt involve minor sexual assault rape may commit use internet therefore kindly make voice hear via email provide we justification investigate verify order ass sanction must do within strict period 72 hour deadline oblige file report mr myriam quemener magistrate criminal service court appeal versaille expert council europe matter cybercrime establish arrest warrant forward nearest gendarmerie station place residence arrest register sex offender transmit file various national television news channel broadcast family love one other witness front computer inform legitimate document mr catherine de bolle director general europol office chief brigade protection minor netherlands,infos.euro.cepol@gmail.com,,Phishing
attention grateful cooperation towards success transaction client rafal say get notification shipment already receive shipment slip client glad inform work transfer money unlock bank account full amount transfer within next 34 day international transfer wait urge kindly get back we full correct detail state full name matteo marongiu address via michele pira 27b city oristano state italy zip code 09170 account number it09q0300203280854521836575 swift code bank name item name link macbook shipment tracking number none thank customer care team lloyd online team copyright 2020 lloyd right reserve lloyd bank plc registered england register 119278 register office 25 gresham street london ec2v 7hn register england wale 2065 lloyd lloyds banking group,,,Phishing
lloyd international bank plc you ve receive wire transfer 530 eur rafal say contact regard transfer place rafal say favor total amount 53000 eur pay account rafal say payment auction item approve payment payment detail banco transaction i d it2383063276602020 transaction date august 18 2020 payment method account number gb29loyd1331xxxxxxxx0021 payment status payment approve ok expect pay location transfer current percent italy 100 transfer do transfer status transfer approve delivery information name rafal say address mackbook dhlem ctt tntdpd gls dbille summary transfer amount current status approve transfer please read carefullythe total amount deduct rafal say account effect right withdraw claim money back fund credit account immediately shipment confirm get back we ship tracking reference number verification propose shipment tracking code verify money credit bank account immediately provide buyer shipment tracking code credit account mail shipment tracking code customer care important note confirm verified postage address provide mr lan please send item address transaction valid question regard transfer contact we,lloydsbank.online-banking@accountant.com,,Phishing
please enter credit card information validation apple i d sign dear customer icloud storage full however part loyalty program receive additional 50 gb free icloud drive file delete receive 50 gb signing need enter credit card information validate apple i d amount charge stop go write 616 corporate way ste29092 valley cottage ny 10989,,dropyunsub.com,Phishing
current user customer support simply brilliant stuff 30807,fhusin066@gmail.com,crwn6ejgs.arrangeexperience.co.in,Phishing
postal service package delivery suspend 1 package await delivery use code track receive schedule delivery subscribe push notification avoid happen schedule delivery advertiser manage subscription prefer receive communication please unsubscribe write 6101 long prairie rd ste 744 511 flower mound tx 75028,info.337746@viiphoto.com,hszxsk.universalcolorslide.com,Phishing
paypal limit dear customer security top priority recently identify suspicious activity paypal account safeguard fund personal information temporarily restrict access account necessary verification step complete please take immediate action follow secure verification link provide rest assure complete verification process take minute time significantly enhance security account encounter issue require assistance verification process dedicate support team available 247 help safely paypal security team verify question ' help call we 18006592955 ttytdd 18009778339 office disaster assistance we small business administration,pumpkansajacustservicepp-52312888523@pmcustomprint.co.uk,,Phishing
hi hacker successfully gain access operate system also full access account I ve watch month fact computer infect malware adult site visit familiar explain trojan virus give full access control computer device mean see everything screen turn camera microphone know also access contact correspondence antivirus detect malware malware use driver base update signature every six hour hence av unable detect presence make video showing satisfy leave half screen right half show video watch time one mouse click send video email contact social network also make public email correspondence chat history messenger use do not want happen transfer 770 bitcoin equivalent bitcoin address know search buy bitcoin bitcoin address 1fg3ad54ifmlhxmxjgwfdsu38svdptqvjw confirm payment delete video immediately that s never hear give 60 hour two day pay get notice open email timer start file complaint somewhere make sense email track like bitcoin address never make mistake find share message someone else video immediately distribute good regard,eda8e347@shomakerguitars.com,,Phishing
suspicious security threat detect window device take action google suspicious virus detect detect device high risk infect virus could soon harm computer sim carddata photo contact action take learn remove virus click button detailed security check instruction security check httpsvivariumgoalcomfe3c7fc6727d249d52063cbeeda1cc08,info@tallowoodlodge.com.au,vivariumgoal.com,Phishing
hi full access device addition secretly monitor activity watch several day let explain mean thank trojan virus get full access device mean see absolutely everything screen turn camera microphone time without permission addition access see confidential information well email message make video compilation show scene happily asturbate share information email address contact people communicate bye bye job I m guess you ll probably want avoid transfer bit coin equivalent 770 bitc oin account pretty simple process check online do not know bitcoi n address bc1qv3ahqa3xr7dmr029xgtxagzysgmk47g7h6k5zq soon require amount transfer account proceed delete information disappear life please make sure complete transfer within 40 hour receive notification soon open email point countdown begin see recent photo could next time unable see photo move letter inbox folder mark spam see attach photo,crobson@amega.com,,Phishing
hi regret inform sad news approximately month two ago succeed gain total access device utilize browse internet move forward start observe internet activity continuous basis go ahead take look sequence event provide reference initially buy exclusive access hacker long list email account today world really common thing arrange via internet evidently be not hard proceed log mail account within week move instal trojan virus operating system device use login email trojan able gain access entire set controller device eg video camera keyboard other result effortlessly download datum well photo web browse history type datum server moreover access social network account regularly use include email include chat history contact list messenger etc unique virus incessantly refreshing signature due control driver hence remain undetected type antiviruse hence guess already see reason always remain undetected letter process compilation material associate also notice huge supporter regular user website host nasty adult content turn really love visit porn website well watch exciting video endure unforgettable pleasure matter fact able withstand temptation record certain nasty solo action main role later produce video expose masturbation cumme scene,deanevansnn@hmfcorp.com,,Phishing
respond win brand new iphone 14 pro start select participate loyalty program free take minute receive fantastic prize,bbcaccount@bbc.co.uk,xenosclaw.cc,Phishing
apple i d password reset dear simon sanchez password apple i d successfully reset make change suspect unauthorized access account please visit reset password immediately access apple i d account page review update security setting assistance please contact apple support good regard apple support,,appleid.apple.com,Legitimate
receipt purchase netflix netflix premium account ultra ho « 4 screen dear customer make follow purchase detail app content provider date lam price payment method netflix premium stream ho movie saturday march 23 2018 mombership 6 month 45 credit card tho notification recently order apple i d do not make purchase believe unauthorized person access account must cancel purchase soon possible cancel purchase within 24 hour recening invoice go cancel manage order sincerely app store httpsopnimfsvme,statementupdate-9314355354971@jokelena.online,opn.im,Phishing
netflix want watch netflix tonight add new tv show movie every week there s always something great watch netflix you ll find title age taste action movie comedy family program classic much reactivate today available netflix httpswwwnetflixcomiteng034a1f06bf5218853e56b8321659bc0764556c01lkidurlsignup2lnktrkemp,info@mailer.netflix.com,netflix.com,Legitimate
dear account holder detect irregular activity royal mail account protection necessary verify activity continue use account • please go directly verify request verification code via sm certify number complete activation posteid also spid service • choose ignore request may choice temporarily suspend account please remember website stay uptodate opportunity benefit royal mail offer email send email address provide sign posteitaliane website family youth small medium enterprise,info@moddex.com.au,posteinforma-cliente.from-ar.com,Phishing
